ID,rating,date,user,reviewText,product_ID
440112ef-8715-4406-9e08-7a045c7f0d12,1.58,2022-06-18,Paula Castro,"Instrucciones poco claras.",54244d10-5450-4fa3-b157-20f57943c812
1a28b0f3-bde0-4a1f-88b9-06ec4124e6fa,4.77,2015-05-09,Javier Medina,"Superó mis expectativas.",54244d10-5450-4fa3-b157-20f57943c812
e595fd9b-94f0-461c-b963-6178e56f6084,4.25,2015-07-02,Miguel Acosta,"Buena calidad y precio justo.",54244d10-5450-4fa3-b157-20f57943c812
224161f6-337c-4420-b035-9be639f45c2f,3.21,2022-11-09,Daniela Vargas,"El servicio al cliente fue útil.",54244d10-5450-4fa3-b157-20f57943c812
0b8ed014-03d1-4296-887e-1638ea31347d,1.47,2018-08-28,Elena Morales,"Podría ser mejor, algunos detalles no me convencen.",54244d10-5450-4fa3-b157-20f57943c812
4697a0d8-98f5-4165-b355-8aea048f09f3,1.6,2022-03-20,Diego Silva,"No cumple con lo prometido.",54244d10-5450-4fa3-b157-20f57943c812
be439af3-1ce8-42c4-9287-cda8282bcbe2,4.32,2022-12-13,Daniela Sanchez,"Es aceptable por el precio.",54244d10-5450-4fa3-b157-20f57943c812
40877b19-a207-4013-99fd-ef0a203f7e24,1.12,2023-07-06,Santiago Diaz,"Instrucciones poco claras.",54244d10-5450-4fa3-b157-20f57943c812
0fdbd9aa-1786-4589-b5c7-537f0c2dcae8,1.1,2019-10-27,Valentina Romero,"El servicio al cliente fue útil.",54244d10-5450-4fa3-b157-20f57943c812
43540c4e-ee67-4a12-8727-beca248fdbae,3.05,2023-06-28,Juan Sanchez,"Instrucciones poco claras.",54244d10-5450-4fa3-b157-20f57943c812
400566df-0e5a-4717-b05a-a646b22ba23f,3.78,2018-10-22,Gabriel Romero,"Instrucciones poco claras.",54244d10-5450-4fa3-b157-20f57943c812
13769cb8-162f-4eab-91f7-49df4b311f12,4.28,2025-04-16,Santiago Rodriguez,"El material se siente de baja calidad.",54244d10-5450-4fa3-b157-20f57943c812
a70af80c-d824-48bf-b623-97f99760862c,3.04,2020-09-08,Carlos Torres,"La entrega fue rápida y sin problemas.",54244d10-5450-4fa3-b157-20f57943c812
44fdc481-dafd-4e1c-ba41-5d9fab9f5d34,4.5,2019-10-26,Andres Medina,"Regular, esperaba más por el costo.",54244d10-5450-4fa3-b157-20f57943c812
51ee9acd-a07c-4ad0-aae7-59950e092e50,3.13,2021-05-10,Gabriel Ortiz,"Regular, esperaba más por el costo.",54244d10-5450-4fa3-b157-20f57943c812
b2282497-5ac9-4e44-a166-6f54458cbfe6,3.9,2017-08-25,Maria Rodriguez,"Ni bueno ni malo, simplemente funcional.",54244d10-5450-4fa3-b157-20f57943c812
c299c2fa-daba-45a7-a40d-146e78e3c514,2.07,2022-12-25,Santiago Garcia,"Mala experiencia de compra, no lo recomiendo.",54244d10-5450-4fa3-b157-20f57943c812
6f4aeea9-56da-4ce4-bb1c-4a4e335aa4c4,4.94,2022-11-16,Jose Gomez,"Muy satisfecho con la compra.",54244d10-5450-4fa3-b157-20f57943c812
233afe65-19a1-46da-aeb2-835274aae437,3.53,2018-01-10,Paula Reyes,"El material se siente de baja calidad.",54244d10-5450-4fa3-b157-20f57943c812
82a2e784-4ac8-4538-bd22-20ea15639e91,4.03,2020-07-08,Valentina Rivera,"Me encantó, funciona perfectamente.",54244d10-5450-4fa3-b157-20f57943c812
ca32a393-8ea6-4949-b7ce-9362156a0a1e,2.48,2020-11-10,Diego Martinez,"Regular, esperaba más por el costo.",54244d10-5450-4fa3-b157-20f57943c812
e1c9ef11-5b04-48de-87d5-538169de7a10,1.01,2018-06-02,Mateo Sanchez,"Me encantó, funciona perfectamente.",54244d10-5450-4fa3-b157-20f57943c812
d26bbed6-91be-4436-8207-ec5eee7a7ba1,2.46,2020-04-24,Ana Romero,"El producto cumple con lo descrito.",54244d10-5450-4fa3-b157-20f57943c812
839f9f2d-78c8-4f9c-b986-0ebd47526c9f,1.8,2021-03-30,Javier Rivera,"Superó mis expectativas.",54244d10-5450-4fa3-b157-20f57943c812
a7d5e15e-3a97-479c-856a-122bb5e18c39,2.62,2021-05-04,Maria Acosta,"No me gustó, mala calidad.",54244d10-5450-4fa3-b157-20f57943c812
84b43550-8623-4722-bc69-43eef0b70191,3.2,2020-10-09,Carlos Morales,"Ni bueno ni malo, simplemente funcional.",54244d10-5450-4fa3-b157-20f57943c812
7b4ac8f2-55db-488e-b92d-9a7d7e72ac62,2.78,2024-10-06,David Medina,"El material se siente de baja calidad.",54244d10-5450-4fa3-b157-20f57943c812
0a9c5d1b-52d0-4646-ae64-40a24df0e310,4.55,2016-02-22,Miguel Ramirez,"Instrucciones poco claras.",54244d10-5450-4fa3-b157-20f57943c812
77f374bd-489b-44be-9366-5adf9adfe151,4.97,2021-01-08,Valentina Medina,"Funciona como se esperaba.",54244d10-5450-4fa3-b157-20f57943c812
4cfedf0d-e90d-47ab-880c-df8834079322,5.0,2025-02-08,Carlos Sanchez,"Muy satisfecho con la compra.",54244d10-5450-4fa3-b157-20f57943c812
